region,anos,mes,trigo,maiz_a_duro,maiz_amilaceo,arroz_cascara,cebada_grano,quinua,esparrago,alcachofa,aji,piquillo,pimiento,tomate,zapallo,arveja_verde,zanahoria,ajo,cebolla,maiz_choclo,palta,platano,mango,papaya,pina,granadilla,limon_sutil,naranja,mandarina,tangelo,uva,manzana,melocoton,tuna,aceituna,palma_aceitera,papa,yuca,camote,oca,olluco,cafe_pergamino,cacao,paprika,frijol_grano_seco,pallar_grano_seco,haba_seca,arveja_seca,cana_para_azucar,alfalfa,maiz_chala,cebada_forrajera,avena_forrajera,algodon_rama,oregano,arandano,allsky_sfc_sw_dwn,gwetroot,prectotcorr,ps,rh2m,t2m,t2m_max,t2m_min,ts,ws2m,amplitud_termica,riesgo_helada,estres_calor,vpd_kpa
Ica,2020,Noviembre,60.1,134663.57,135.69,0.0,100.99,0.0,174856.529,17616.8,6282.75,0.0,370.68,92281.04,15998.36,423.639,142.8,22.1,111003.61,19469.699,80659.94900000001,2415.78,7977.757,406.74,0.0,9.5,1700.889,32104.23999999999,180665.32,30568.419,230932.25,1267.28,613.35,926.948,6862.67,0.0,115274.61,10631.829,22075.75,24.8,0.0,0.0,0.0,1239.79,377.13,3076.138,0.0,0.0,0.0,122555.038,0.0,0.0,0.0,10778.857,0.0,8937.61,23.63,0.32,0.07,95.91,69.5,18.71,24.74,13.74,20.86,2.97,11.0,0,0,0.6581534853821687
Junin,2020,Enero,0.0,3263.5,0.0,56.0,0.0,0.0,0.0,337.1,0.0,0.0,0.0,0.0,201.4,3421.6,1717.8,12.0,270.1,1306.8,5905.8,17660.3,524.4999999999999,946.6,41939.2,736.3499999999999,192.75,19948.6,799.6,2755.0,0.0,0.6,1.7,3.9,0.0,0.0,24539.2,6911.9,0.0,0.0,182.8,0.0,544.6890000000001,0.0,317.3,0.0,0.0,0.0,0.0,11069.4,0.0,312.4,814.1999999999999,0.0,4.46,0.0,15.34,0.67,2.43,90.97,80.68,23.75,34.11,19.08,23.68,0.21,15.03,0,1,0.5678801008401151
Junin,2020,Febrero,0.0,7905.700000000001,0.0,146.0,0.0,0.0,0.0,860.7,260.1,0.0,0.0,0.0,584.2,7912.4,4996.1,59.8,583.9000000000001,7361.500000000001,10343.8,33246.95,783.6999999999998,1733.0,83033.6,1906.75,465.15,43853.9,2423.4,8127.15,0.0,21.0,36.7,56.7,0.0,0.0,53424.2,15019.75,0.0,0.0,860.5,3637.789,1256.839,0.0,634.25,0.0,0.0,0.0,0.0,23441.675,0.0,543.7,2743.899999999999,0.0,9.56,0.0,13.78,0.68,4.46,91.02,85.69,23.22,30.31,19.47,23.16,0.23,10.84,0,0,0.4073979826320504
Junin,2020,Marzo,0.0,13231.2,66.0,306.5,0.0,0.0,0.0,1129.2,739.1,0.0,0.0,10.0,1320.1,13053.3,10245.1,147.0,1024.5,29170.3,14231.05,51706.3,814.1499999999999,2747.9,130961.1,2709.3,753.05,67481.35,5195.150000000001,14015.9,0.0,73.3,176.3,129.5,0.0,0.0,100980.6,20870.4,0.0,25.0,2006.5,11069.188,3532.348,0.0,997.85,0.0,0.0,0.0,0.0,36354.19999999999,0.0,1083.8,14880.4,0.0,16.23,0.0,15.4,0.65,3.03,91.04,80.23,23.57,31.74,18.37,23.5,0.21,13.37,0,0,0.574846450643451
Junin,2020,Abril,0.0,17115.2,293.4,441.9,0.0,0.0,0.0,1613.8,861.0,0.0,0.0,32.0,1659.8,18042.2,14803.9,206.0,1343.5,63444.4,17418.15,68905.6,814.1499999999999,3720.35,169871.7,3625.1,1125.4,89267.05,10690.95,20469.8,0.0,107.8,264.1,169.6,0.0,0.0,158939.659,28225.0,0.0,158.5,5069.6,24723.038,6816.277,0.0,634.25,0.0,0.0,4.0,0.0,49427.99999999999,0.0,2278.0,40038.7,0.0,22.11,0.0,15.44,0.62,0.3,91.18,72.96,24.13,33.43,16.85,24.07,0.24,16.58,0,1,0.8131418899551219
Junin,2020,Mayo,132.9,17115.2,3853.9,620.4,973.3,581.3,0.0,2091.8,886.8,0.0,0.0,57.4,2063.2,20762.5,18383.9,758.7,1476.9,87944.79999999999,20460.15,87158.67000000001,814.1499999999999,4713.0,207666.6,4576.700000000001,1530.3,116916.95,20110.15,26001.2,0.0,112.6,284.7,169.6,0.0,0.0,258416.459,36965.6,0.0,1367.2,11168.7,43461.427,11218.447,0.0,1459.1,0.0,876.0689999999998,516.1,0.0,61618.29999999999,0.0,3722.4,64012.90000000001,0.0,26.98999999999999,0.0,15.29,0.58,0.33,91.24,64.8,24.4,33.37,16.5,24.31,0.25,16.87,0,1,1.075786827206567
Junin,2020,Junio,3847.000000000001,19710.5,11660.65,975.8,10297.1,2815.2,0.0,2091.8,905.7,0.0,0.0,57.4,2277.3,21495.2,18383.9,2972.7,1838.8,92031.1,22950.4,105108.68,814.1499999999999,5613.948,233491.3,5613.9,1922.85,151309.95,32027.65,31274.1,0.0,116.6,278.3,169.6,0.0,0.0,350849.659,44918.3,0.0,3340.1,16690.67,61938.79700000001,15728.992,0.0,1926.5,0.0,876.0689999999998,516.1,0.0,73210.8,0.0,4779.200000000001,82902.5,0.0,31.23,0.0,13.97,0.58,0.91,91.15,68.51,24.55,32.29,18.83,24.42,0.28,13.46,0,1,0.9710735681713398
Junin,2020,Julio,6465.550000000001,19821.3,13411.05,1294.0,16697.48,4168.8,0.0,2697.3,937.7,0.0,0.0,57.4,2309.3,22439.76,20694.7,4094.5,2189.0,92052.1,24686.95,120435.97,814.1499999999999,6396.698,264783.3,6635.25,2189.25,184683.45,42920.25,34398.4,0.0,116.6,278.3,169.6,0.0,0.0,376217.459,51168.2,0.0,3670.3,17697.87,73306.307,19926.446,0.0,2859.7,0.0,3181.479,1527.9,0.0,83331.7,0.0,5455.500000000001,84900.1,0.0,35.89,0.0,14.76,0.57,0.46,91.13,63.43,24.69,32.9,17.48,24.55,0.28,15.42,0,1,1.137199327436997
Junin,2020,Agosto,6606.770000000001,20940.5,13693.15,1352.0,17093.18,4233.3,0.0,2846.4,1009.5,0.0,0.0,57.4,2325.0,23978.96,21723.2,4196.3,2606.1,92119.9,25822.03,135063.67,814.1499999999999,7108.498000000001,295955.4,7591.85,2350.650000000001,210659.25,50055.65,36142.0,0.0,116.6,278.3,169.6,0.0,0.0,379848.659,58474.9,0.0,3670.3,17763.87,78112.11200000001,22491.6,0.0,3127.279,0.0,3188.279,1527.9,0.0,92207.8,0.0,6390.700000000001,86256.3,0.0,38.55,0.0,18.05,0.56,0.06,91.07,47.39,26.2,36.22,15.3,25.89,0.33,20.92,0,1,1.789410900990989
Junin,2020,Septiembre,6606.77,22609.59999999999,13693.15,1688.0,17126.48,4233.3,0.0,3032.6,1156.0,0.0,0.0,57.4,2339.3,25385.16,23127.0,4225.3,2823.6,92406.9,27916.73,152764.57,814.1499999999999,8118.198,330043.9,8528.650000000001,2500.200000000001,232575.2,54598.55,37474.80000000001,0.0,116.6,278.3000000000001,169.6,0.0,0.0,384290.559,71349.09999999999,0.0,3770.9,17852.07,78684.77200000001,24426.99,0.0,3469.729,0.0,3198.779,1527.9,0.0,101375.3,0.0,7054.4,87725.3,0.0,41.78,0.0,15.1,0.56,0.22,91.04,53.82,26.62,35.89,19.96,26.56,0.26,15.93,0,1,1.610070052451305
